,RXCUI,ATC
465,314293,A01AD05
466,314293,B01AC06
467,314293,N02BA01
468,1797859,H01BA02
469,312935,A06AB06
470,1007652,A03AX15
471,724568,A07AA02
472,724568,D01AA01
473,724568,G01AA01
474,310651,R05CA03
475,1007474,G03CA01
476,1007474,L02AA03
477,1007474,G03AC07
478,8332,C07AA03
479,690247,C05AD02
480,690247,D04AB06
481,690247,N01BA03
482,690247,S01HA03
483,690247,C05AD03
484,690247,D04AB04
485,690247,N01BA05
486,690247,R02AD01
487,206448,N05BA13
488,905394,A16AA05
489,1996184,N02AE01
490,1996184,N07BC01
491,792957,A07EA01
492,792957,C05AA04
493,792957,D07AA03
494,792957,D07XA02
495,792957,H02AB06
496,792957,R01AD02
497,792957,S01BA04
498,792957,S01CB02
499,792957,S02BA03
500,792957,S03BA02
501,6972,A06AA01
502,802648,B03BA01
503,802648,B03AA02
504,802648,B03AD02
505,802648,V04CX02
506,802648,B03BB01
507,317015,C04AC01
508,317015,C10AD02
509,577033,G04BE03
510,404060,D10AD04
511,404060,D10BA01
512,1807546,A12CA01
513,1807546,B05CB01
514,1807546,B05XA03
515,244190,B03BA01
516,577181,A02AC01
517,577181,A12AA04
518,997488,R06AX26
519,36117,R03AC12
520,647208,A10BB12
521,647208,A10BG03
522,1798995,D10AB02
523,1798995,S01AB04
524,1798995,D10AF06
525,359399,A11HA03
526,359399,C01EB09
527,577196,A06AC05
528,1243047,R07AX02
529,207768,D08AE01
530,1795477,B05CX01
531,1795477,V04CA02
532,1795477,V06DC01
533,93017,A12BA01
534,93017,B05XA01
535,310861,A01AC03
536,310861,A07EA02
537,310861,C05AA01
538,310861,D07AA02
539,310861,D07XA01
540,310861,H02AB09
541,310861,S01BA02
542,310861,S01CB03
543,310861,S02BA01
544,203204,N06AX12
545,895766,A03BA03
546,895766,G04BX12
547,895766,J01XX05
548,895766,V03AB17
549,895766,V04CG05
550,248656,J01FA10
551,248656,S01AA26
552,153735,M03BX02
553,1144963,M01AX25
554,1144963,M01AX05
555,1545801,B06AA07
556,1545801,D03BA01
557,1545801,A06AB05
558,315090,D10AF02
559,315090,J01FA01
560,315090,S01AA17
561,190353,L04AC01
562,1729065,B01AC27
563,1008191,B03BA01
564,1008191,V08CA07
565,1008191,V04CX02
566,1008191,B03BB01
567,209611,A06AB02
568,209611,A06AG02
569,1797109,G03CA03
570,310295,N01AH01
571,310295,N02AB03
572,992494,D10AE01
573,311290,N03AX14
574,197475,C03AA04
575,1006916,C05AD03
576,1006916,D04AB04
577,1006916,N01BA05
578,1006916,R02AD01
579,1006916,D08AX05
580,199828,A12AA13
581,900138,A06AG04
582,900138,A06AX01
583,900138,S01KA02
584,1006710,S01AB04
585,1006710,D10AF06
586,1601386,L01EF01
587,311892,M01AX01
588,1544386,L01BA01
589,1544386,L04AX03
590,896186,R03AC12
591,896186,D07AC17
592,896186,R01AD08
593,896186,R03BA05
594,896186,R03AK06
595,1487371,D01AE12
596,1487371,S01BC08
597,1727491,J05AF13
598,1727491,J05AR17
599,1727491,J05AF09
600,312106,A07DA02
601,312106,N02AA02
602,209352,N02BE01
603,209329,N06AA10
604,1723206,N01AH02
605,727955,L02BA03
606,197397,R05DB01
607,220586,N02BE01
608,220586,R05DA04
609,541951,A01AB22
610,541951,J01AA02
611,1736047,N03AX14
612,231049,N02CC06
613,1112990,N03AX21
614,647239,A10BB12
615,647239,A10BG03
616,647239,A10BD06
617,897712,N02AA03
618,1595752,R05DA03
619,1991412,L01XC17
620,236167,H01CB03
621,825425,B02BX05
622,863583,A03FA01
623,1086259,A01AC01
624,1086259,C05AA12
625,1086259,D07AB09
626,1086259,D07XB02
627,1086259,H02AB08
628,1086259,R01AD11
629,1086259,R03BA06
630,1086259,S01BA05
631,702612,N02BE01
632,702612,D11AX26
633,702612,N06BC01
634,748368,D10AE01
635,1046847,N07BA01
636,211323,N06AX11
637,1300092,C01CA06
638,1300092,R01AA04
639,1300092,R01AB01
640,1300092,R01BA03
641,1300092,S01FB01
642,1300092,S01GA05
643,751568,H01AC01
644,216201,A06AD11
645,864092,A01AB09
646,864092,A07AC01
647,864092,D01AC02
648,864092,G01AF04
649,864092,J02AB01
650,864092,S02AA13
651,631158,N02BE01
652,631158,R05CA03
653,631158,C01CA06
654,631158,R01AA04
655,631158,R01AB01
656,631158,R01BA03
657,631158,S01FB01
658,631158,S01GA05
659,691245,A01AD01
660,691245,B02BC09
661,691245,C01CA24
662,691245,R01AA14
663,691245,R03AA01
664,691245,S01EA01
665,691245,N07AX01
666,691245,S01EB01
667,849931,D11AX26
668,849931,N06BC01
669,798118,D10AF02
670,798118,J01FA01
671,798118,S01AA17
672,624,N07AA30
673,863626,D10AF02
674,863626,J01FA01
675,863626,S01AA17
676,898697,N06AX05
677,818771,A09AB04
678,818771,B05CB04
679,818771,B05XA02
680,884173,C02AC01
681,884173,N02CX02
682,884173,S01EA04
683,309013,L01AD01
684,1735057,N01AH01
685,1735057,N02AB03
686,244098,B05CX01
687,244098,V04CA02
688,244098,V06DC01
689,244098,A12CA01
690,244098,B05CB01
691,244098,B05XA03
692,8762,A03AB05
693,581650,N06AX12
694,1372696,A02AC01
695,1372696,A12AA04
696,1372696,A11CC05
697,139896,J05AX07
698,857851,R05DA03
699,857851,C01CA06
700,857851,R01AA04
701,857851,R01AB01
702,857851,R01BA03
703,857851,S01FB01
704,857851,S01GA05
705,857851,R06AB04
706,1482908,J02AC04
707,1243330,J05AF07
708,991502,R05DA04
709,991502,D04AA10
710,991502,R06AD02
711,198630,B03AD05
712,198630,B03AA03
713,404665,B05AA07
714,1494778,N03AX11
715,1244921,R05DA04
716,1244921,R06AB01
717,1244921,C01CA06
718,1244921,R01AA04
719,1244921,R01AB01
720,1244921,R01BA03
721,1244921,S01FB01
722,1244921,S01GA05
723,1293491,C01CA06
724,1293491,R01AA04
725,1293491,R01AB01
726,1293491,R01BA03
727,1293491,S01FB01
728,1293491,S01GA05
729,1293491,R06AB04
730,1012221,A01AC03
731,1012221,A07EA02
732,1012221,C05AA01
733,1012221,D07AA02
734,1012221,D07XA01
735,1012221,H02AB09
736,1012221,S01BA02
737,1012221,S01CB03
738,1012221,S02BA01
739,1012221,C01BB01
740,1012221,C05AD01
741,1012221,D04AB01
742,1012221,N01BB02
743,1012221,R02AD02
744,1012221,S01HA07
745,1012221,S02DA01
746,830761,A01AC03
747,830761,A07EA02
748,830761,C05AA01
749,830761,D07AA02
750,830761,D07XA01
751,830761,H02AB09
752,830761,S01BA02
753,830761,S01CB03
754,830761,S02BA01
755,310374,C05AA06
756,310374,D07AB06
757,310374,D07XB04
758,310374,D10AA01
759,310374,S01BA07
760,310374,S01CB05
761,285143,M05BA08
762,1362059,B01AB01
763,1362059,C05BA03
764,1362059,S01XA14
765,206821,N05BA06
766,239241,A07AA02
767,239241,D01AA01
768,239241,G01AA01
769,308054,C01EA01
770,308054,G04BE01
771,1310168,P03AX04
772,1369748,R06AX13
773,1369748,R01BA02
774,898578,J06BB01
775,308232,A09AA01
776,1192931,A06AA02
777,209666,D01AE18
